,candidate,candidate_male,county,district,office,pro_gun_control,vote_share,year,candidate_hispanic,prog_min_wage,incumbent
253,David M. Alameel,1,ZAVALA,23,senate,1,0.763061074,2014,0,0,0
526,Donald G. Brown,1,BRAZORIA,14,house,,0.237805305,2014,0,1,0
527,Donald G. Brown,1,GALVESTON,14,house,,0.33490362,2014,0,1,0
528,Donald G. Brown,1,JEFFERSON,14,house,,0.480860781,2014,0,1,0
426,Eddie Bernice Johnson,0,DALLAS,30,house,1,0.804178851,2016,0,1,1
427,Eddie Bernice Johnson,0,DALLAS,30,house,1,0.804178851,2014,0,1,1
400,Eric Mauck,1,DALLAS,26,house,1,0.406976744,2016,0,1,0
401,Eric Mauck,1,DENTON,26,house,1,0.32065032,2016,0,1,0
402,Eric Mauck,1,TARRANT,26,house,1,0.264282778,2016,0,1,0
611,Filemon B Vela,1,BEE,34,house,0,0.4700629,2014,1,0,0
612,Filemon B Vela,1,CAMERON,34,house,0,0.6700742,2014,1,0,0
613,Filemon B Vela,1,DEWITT,34,house,0,0.153906,2014,1,0,0
614,Filemon B Vela,1,GOLIAD,34,house,0,0.3369853,2014,1,0,0
615,Filemon B Vela,1,GONZALES,34,house,0,0.1969072,2014,1,0,0
616,Filemon B Vela,1,HIDALGO,34,house,0,0.7345034,2014,1,0,0
617,Filemon B Vela,1,JIM WELLS,34,house,0,0.5821336,2014,1,0,0
618,Filemon B Vela,1,KENEDY,34,house,0,0.5982906,2014,1,0,0
619,Filemon B Vela,1,KLEBERG,34,house,0,0.5512566,2014,1,0,0
620,Filemon B Vela,1,SAN PATRICIO,34,house,0,0.5758899,2014,1,0,0
621,Filemon B Vela,1,WILLACY,34,house,0,0.675808,2014,1,0,0
434,Filemon B Vela,1,BEE,34,house,0,0.434324887,2016,1,0,0
435,Filemon B Vela,1,CAMERON,34,house,0,0.687795197,2016,1,0,0
436,Filemon B Vela,1,DEWITT,34,house,0,0.178253657,2016,1,0,0
437,Filemon B Vela,1,GOLIAD,34,house,0,0.308571429,2016,1,0,0
438,Filemon B Vela,1,GONZALES,34,house,0,0.20878494,2016,1,0,0
439,Filemon B Vela,1,HIDALGO,34,house,0,0.732909121,2016,1,0,0
440,Filemon B Vela,1,JIM WELLS,34,house,0,0.573044139,2016,1,0,0
441,Filemon B Vela,1,KENEDY,34,house,0,0.610778443,2016,1,0,0
442,Filemon B Vela,1,KLEBERG,34,house,0,0.515996096,2016,1,0,0
