county,office,district_num_x,dem_candidate,two_party_vtshare,county_num_x,office_x,med_two_party_vtshare,pro_gun_control,pro_choice,pro_climate,candidate_male,candidate_hispanic,candidate_female,county_num_y,urban,border,population,percent_female,percent_hispanic,veterans_per_1000,crimes_per_1000
PRESIDIO,house,23,Pete P. Gallego,0.701492537,189,house,0.442352941,0,1,1,1,1,0,189,0,0,7518,0.511173184,0.836525672,40.04,3.09
REAGAN,house,23,Pete P. Gallego,0.206385405,192,house,0.442352941,0,1,1,1,1,0,192,0,0,3685,0.471370421,0.642605156,35.05,0.566
REAL,house,21,Tom Wakely,0.117684078,193,house,0.184760584,1,1,1,1,0,0,193,0,0,3462,0.506932409,0.266031196,121.18,4.703
REEVES,house,23,Pete P. Gallego,0.598165761,195,house,0.442352941,0,1,1,1,1,0,195,0,0,14576,0.40312843,0.759742042,32.79,18.977
REFUGIO,house,27,Raul (Roy) Barrera,0.367079646,196,house,0.305126464,,,,1,1,0,196,0,0,7375,0.499118644,0.500474576,72.6,15.014
ROBERTSON,house,17,William Matta,0.295726748,198,house,0.264256223,1,1,,1,0,0,198,1,0,17518,0.502625871,0.211382578,62.45,22.169
RUSK,house,1,Shirley McKellar,0.247915396,201,house,0.286292097,1,1,1,0,0,1,201,1,0,53886,0.472089225,0.179174554,64.49,32.726
SABINE,house,1,Shirley McKellar,0.156508264,202,house,0.286292097,1,1,1,0,0,1,202,0,0,11060,0.507142857,0.040144665,116.95,20.365
SAN AUGUSTINE,house,1,Shirley McKellar,0.344307814,203,house,0.286292097,1,1,1,0,0,1,,,,,,,,
SAN PATRICIO,house,27,Raul (Roy) Barrera,0.314351547,205,house,0.305126464,,,,1,1,0,,,,,,,,
SAN PATRICIO,house,34,Filemon B. Vela,0.557067891,205,house,0.557067891,0,1,0,1,1,0,,,,,,,,
SCHLEICHER,house,23,Pete P. Gallego,0.217305801,207,house,0.442352941,0,1,1,1,1,0,207,0,0,3172,0.499054224,0.446721311,54.32,4.683
SHELBY,house,1,Shirley McKellar,0.2392837,210,house,0.286292097,1,1,1,0,0,1,210,0,0,25438,0.50031449,0.199308122,59.61,23.208
SMITH,house,1,Shirley McKellar,0.345705091,212,house,0.286292097,1,1,1,0,0,1,212,1,0,224401,0.512413046,0.21104184,69.29,32.571
SOMERVELL,house,25,Kathi Thomas,0.140455531,213,house,0.200173263,1,1,1,0,0,1,213,1,0,9000,0.509888889,0.225888889,79.15,11.657
STARR,house,28,Henry Cuellar,0.869897959,214,house,0.753851395,0,0,1,1,1,0,214,0,0,64071,0.514569774,0.950351953,13.12,18.96
SUTTON,house,23,Pete P. Gallego,0.231277533,218,house,0.442352941,0,1,1,1,1,0,218,0,0,4039,0.500866551,0.61648923,44.82,5.852
TARRANT,house,6,Ruby Faye Woolridge,0.871928923,220,house,0.318387877,1,,1,0,1,1,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TARRANT,house,12,Bill Bradshaw,0.480175026,220,house,0.167534496,,,,1,0,0,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TARRANT,house,24,Jan McDowell,0.32227037,220,house,0.438669486,1,1,1,1,0,0,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TARRANT,house,25,Kathi Thomas,0.255319149,220,house,0.200173263,1,1,1,0,0,1,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TARRANT,house,26,Eric Mauck,0.264282778,220,house,0.32065032,1,0,1,1,0,0,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TARRANT,house,33,Marc Veasy,0.772163051,220,house,0.736891958,1,1,1,1,0,0,220,1,0,1984677,0.508173874,0.304888402,67.34,40.661
TERRELL,house,23,Pete P. Gallego,0.442352941,222,house,0.442352941,0,1,1,1,1,0,222,0,0,853,0.492379836,0.47010551,121.95,10.078
TRAVIS,house,10,Tawana W. Cadien,0.63106861,227,house,0.220101623,1,1,1,0,1,1,227,1,0,1194552,0.496063796,0.354097603,51.94,44.537
TRAVIS,house,17,William Matta,0.642466918,227,house,0.264256223,1,1,,1,0,0,227,1,0,1194552,0.496063796,0.354097603,51.94,44.537
TRAVIS,house,21,Tom Wakely,0.681685506,227,house,0.184760584,1,1,1,1,0,0,227,1,0,1194552,0.496063796,0.354097603,51.94,44.537
TRAVIS,house,25,Kathi Thomas,0.577773405,227,house,0.200173263,1,1,1,0,0,1,227,1,0,1194552,0.496063796,0.354097603,51.94,44.537
TRAVIS,house,35,Lloyd Doggett,0.824413249,227,house,0.574653149,1,1,1,1,0,0,227,1,0,1194552,0.496063796,0.354097603,51.94,44.537
TYLER,house,36,Hal J Ridley Jr. ,0.071735626,229,house,0.085919056,1,1,1,1,0,0,229,0,0,22003,0.442985047,0.076398673,78.15,15.151
UPSHUR,house,1,Shirley McKellar,0.208278408,230,house,0.286292097,1,1,1,0,0,1,230,1,0,40795,0.504988356,0.08912857,78.2,25.529
UPTON,house,23,Pete P. Gallego,0.250612245,231,house,0.442352941,0,1,1,1,1,0,231,0,0,3573,0.493422894,0.527287993,47.99,5.807
UVALDE,house,23,Pete P. Gallego,0.446975006,232,house,0.442352941,0,1,1,1,1,0,232,0,0,27608,0.510033324,0.717654303,45.26,46.803
VAL VERDE,house,23,Pete P. Gallego,0.546608549,233,house,0.442352941,0,1,1,1,1,0,,,,,,,,
VICTORIA,house,27,Raul (Roy) Barrera,0.295441109,235,house,0.305126464,,,,1,1,0,235,1,0,92313,0.510155666,0.472219514,77.73,38.752
WALLER,house,10,Tawana W. Cadien,0.335676409,237,house,0.220101623,1,1,1,0,1,1,237,1,0,49448,0.506532115,0.346990778,51.29,19.863
WARD,house,23,Pete P. Gallego,0.262012693,238,house,0.442352941,0,1,1,1,1,0,238,0,0,11181,0.510956086,0.502548967,66.43,40.036
WASHINGTON,house,10,Tawana W. Cadien,0.202772721,239,house,0.220101623,1,1,1,0,1,1,239,0,0,35265,0.501488728,0.169261307,60.98,20.581
WEBB,house,28,Henry Cuellar,0.886362818,240,house,0.753851395,0,0,1,1,1,0,240,1,0,275040,0.508689645,0.958562391,23.11,45.684
WHARTON,house,27,Raul (Roy) Barrera,0.290649983,241,house,0.305126464,,,,1,1,0,241,0,0,41103,0.505364572,0.402647009,49.61,27.847
WILLACY,house,34,Filemon B. Vela,0.701624512,245,house,0.557067891,0,1,0,1,1,0,245,0,0,22016,0.453670058,0.879678416,35.1,41.067
WILLIAMSON,house,31,Mike Clark,0.398998695,246,house,0.375613373,1,1,1,1,0,0,246,1,0,514534,0.517034832,0.264738579,83.36,15.546
WILSON,house,15,Vincete Gonzalez,0.15379902,247,house,0.528861549,1,1,,1,1,0,247,1,0,48676,0.50143808,0.394280549,103.38,14.005
WILSON,house,28,Henry Cuellar,0.348651526,247,house,0.753851395,0,0,1,1,1,0,247,1,0,48676,0.50143808,0.394280549,103.38,14.005
WINKLER,house,23,Pete P. Gallego,0.220254566,248,house,0.442352941,0,1,1,1,1,0,248,0,0,7908,0.490895296,0.556904401,53.87,14.771
WISE,house,12,Bill Bradshaw,0.167534496,249,house,0.167534496,,,,1,0,0,249,1,0,64218,0.499563985,0.217026379,80.03,14.952
WOOD,house,1,Shirley McKellar,0.159633628,250,house,0.286292097,1,1,1,0,0,1,250,0,0,44003,0.507260869,0.099856828,104.92,26.503
ZAPATA,house,28,Henry Cuellar,0.834837847,253,house,0.753851395,0,0,1,1,1,0,253,0,0,14237,0.493643324,0.944510782,26.25,36.398
ZAVALA,house,23,Pete P. Gallego,0.800194301,254,house,0.442352941,0,1,1,1,1,0,254,0,0,12001,0.504291309,0.942671444,27.15,17.28
ANDERSON,president,,Hillary Clinton,0.20,,president,,1,1,1,0,0,1,,,0,,,,,
ANDREWS,president,,Hillary Clinton,0.18,,president,,1,1,1,0,0,1,,,0,,,,,
ANGELINA,president,,Hillary Clinton,0.26,,president,,1,1,1,0,0,1,,0,0,90652,0.504953007,0.226492521,66.85,36.68
ARANSAS,president,,Hillary Clinton,0.24,,president,,1,1,1,0,0,1,,1,0,25234,0.506974717,0.274827614,114.69,45.775
ARCHER,president,,Hillary Clinton,0.09,,president,,1,1,1,0,0,1,,,0,,,,,
ARMSTRONG,president,,Hillary Clinton,0.07,,president,,1,1,1,0,0,1,,,0,,,,,
ATASCOSA,president,,Hillary Clinton,0.35,,president,,1,1,1,0,0,1,,1,0,49086,0.510104714,0.6361488,68.83,24.167
