,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
14964,MORRIS COUNTY,343,All Ages,12942,6360,6582,8227,4046,4181,3007,1440,1567,445,224,221,1263,650,613
15051,MOTLEY COUNTY,345,All Ages,1112,558,554,924,460,464,21,13,8,7,3,4,160,82,78
15138,NACOGDOCHES COUNTY,347,All Ages,65596,31813,33783,37414,17954,19460,11940,5456,6484,2518,1262,1256,13724,7141,6583
15225,NAVARRO COUNTY,349,All Ages,49338,24728,24610,27678,13696,13982,6214,2998,3216,1770,910,860,13676,7124,6552
15312,NEWTON COUNTY,351,All Ages,13969,7247,6722,10302,5271,5031,2862,1543,1319,381,187,194,424,246,178
15399,NOLAN COUNTY,353,All Ages,14545,7314,7231,8395,4235,4160,668,336,332,251,131,120,5231,2612,2619
15486,NUECES COUNTY,355,All Ages,361556,178610,182946,105615,53034,52581,12548,6494,6054,12336,5752,6584,231057,113330,117727
15573,OCHILTREE COUNTY,357,All Ages,10742,5557,5185,4563,2280,2283,16,6,10,170,79,91,5993,3192,2801
15660,OLDHAM COUNTY,359,All Ages,2068,1066,1002,1709,882,827,52,25,27,47,18,29,260,141,119
15747,ORANGE COUNTY,361,All Ages,84219,42186,42033,67407,33630,33777,7435,3604,3831,2962,1507,1455,6415,3445,2970
15834,PALO PINTO COUNTY,363,All Ages,28600,14171,14429,21499,10553,10946,632,340,292,595,298,297,5874,2980,2894
15921,PANOLA COUNTY,365,All Ages,24145,12094,12051,17340,8659,8681,3914,1888,2026,505,256,249,2386,1291,1095
16008,PARKER COUNTY,367,All Ages,132602,66117,66485,107921,52875,55046,2100,1465,635,4113,2001,2112,18468,9776,8692
16095,PARMER COUNTY,369,All Ages,9882,5150,4732,3261,1644,1617,115,57,58,63,35,28,6443,3414,3029
16182,PECOS COUNTY,371,All Ages,15908,8926,6982,4080,2434,1646,513,481,32,233,117,116,11082,5894,5188
