year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2014,SAN SABA,senate,11,David M. Alameel,0.090122567,1,1,0
2014,SCHLEICHER,senate,23,David M. Alameel,0.228824273,1,1,0
2014,SCURRY,senate,19,David M. Alameel,0.101127683,1,1,0
2014,SHACKELFORD,senate,19,David M. Alameel,0.057692308,1,1,0
2014,SHELBY,senate,1,David M. Alameel,0.188468809,1,1,0
2014,SHERMAN,senate,13,David M. Alameel,0.052173913,1,1,0
2014,SMITH,senate,1,David M. Alameel,0.214900627,1,1,0
2014,SOMERVELL,senate,25,David M. Alameel,0.140923938,1,1,0
2014,STARR,senate,28,David M. Alameel,0.797939445,1,1,0
2014,STEPHENS,senate,11,David M. Alameel,0.084394904,1,1,0
2014,STERLING,senate,11,David M. Alameel,0.04415011,1,1,0
2014,STONEWALL,senate,19,David M. Alameel,0.202247191,1,1,0
2014,SUTTON,senate,23,David M. Alameel,0.126917713,1,1,0
2014,SWISHER,senate,13,David M. Alameel,0.218016654,1,1,0
2014,TARRANT,senate,12,David M. Alameel,0.375811654,1,1,0
2014,TAYLOR,senate,19,David M. Alameel,0.151444464,1,1,0
2014,TERRELL,senate,23,David M. Alameel,0.329608939,1,1,0
2014,TERRY,senate,19,David M. Alameel,0.144470588,1,1,0
2014,THROCKMORTON,senate,19,David M. Alameel,0.106425703,1,1,0
2014,TITUS,senate,4,David M. Alameel,0.231141589,1,1,0
2014,TOM GREEN,senate,11,David M. Alameel,0.168315143,1,1,0
2014,TRAVIS,senate,25,David M. Alameel,0.601230264,1,1,0
2014,TRINITY,senate,8,David M. Alameel,0.223211876,1,1,0
2014,TYLER,senate,36,David M. Alameel,0.18226601,1,1,0
2014,UPSHUR,senate,4,David M. Alameel,0.154060606,1,1,0
2014,UPTON,senate,23,David M. Alameel,0.154103853,1,1,0
2014,UVALDE,senate,23,David M. Alameel,0.383867632,1,1,0
2014,VAL VERDE,senate,23,David M. Alameel,0.492694064,1,1,0
2014,VAN ZANDT,senate,5,David M. Alameel,0.13557094,1,1,0
2014,VICTORIA,senate,27,David M. Alameel,0.22557445,1,1,0
2014,WALKER,senate,8,David M. Alameel,0.260013071,1,1,0
2014,WALLER,senate,10,David M. Alameel,0.267942584,1,1,0
2014,WARD,senate,23,David M. Alameel,0.22329576,1,1,0
2014,WASHINGTON,senate,10,David M. Alameel,0.183229094,1,1,0
2014,WEBB,senate,28,David M. Alameel,0.670291929,1,1,0
2014,WHARTON,senate,27,David M. Alameel,0.216889881,1,1,0
2014,WHEELER,senate,13,David M. Alameel,0.076679842,1,1,0
2014,WICHITA,senate,13,David M. Alameel,0.204887964,1,1,0
2014,WILBARGER,senate,13,David M. Alameel,0.186506398,1,1,0
2014,WILLACY,senate,34,David M. Alameel,0.576172905,1,1,0
2014,WILLIAMSON,senate,31,David M. Alameel,0.34816544,1,1,0
2014,WILSON,senate,28,David M. Alameel,0.219583375,1,1,0
2014,WINKLER,senate,23,David M. Alameel,0.140829694,1,1,0
2014,WISE,senate,13,David M. Alameel,0.139166667,1,1,0
2014,WOOD,senate,5,David M. Alameel,0.115509109,1,1,0
2014,YOAKUM,senate,19,David M. Alameel,0.068681319,1,1,0
